measure,quantile,time,sex,age,ethnic,value
mx,50%,2017-19,Female,59 years,Total,0.00417
mx,97.50%,2017-19,Male,49 years,Pacific,0.00548
lx,50%,2017-19,Male,78 years,nonMaori,70262
mx,50%,2017-19,Male,1 years,European or Other,2.50E-04
Lx,50%,2017-19,Female,47 years,Maori,95502
ex,2.50%,2017-19,Male,15 years,Pacific,60.64
qx,97.50%,2017-19,Female,23 years,Pacific,5.50E-04
qx,2.50%,2017-19,Male,11 years,Maori,2.00E-04
ex,2.50%,2017-19,Female,68 years,Total,18.97
lx,50%,2017-19,Female,40 years,Total,98335
mx,2.50%,2017-19,Male,62 years,Asian,0.0036
dx,97.50%,2017-19,Female,21 years,nonMaori,36
ex,97.50%,2017-19,Male,27 years,Pacific,49.98
dx,97.50%,2017-19,Male,79 years,nonMaori,3056
qx,50%,2017-19,Male,46 years,Asian,8.60E-04
lx,2.50%,2017-19,Female,8 years,Maori,99315
qx,97.50%,2017-19,Male,74 years,European or Other,0.02443
lx,50%,2017-19,Female,80 years,Asian,83767
Lx,2.50%,2017-19,Female,86 years,Total,50092
Lx,2.50%,2017-19,Male,83 years,nonMaori,52039
qx,2.50%,2017-19,Female,28 years,European or Other,2.90E-04
mx,50%,2017-19,Male,19 years,Pacific,5.90E-04
px,97.50%,2017-19,Male,29 years,European or Other,0.99937
ex,50%,2017-19,Male,11 years,nonMaori,70.36
qx,2.50%,2017-19,Female,99 years,Asian,0.19749
dx,2.50%,2017-19,Female,26 years,European or Other,27
ex,97.50%,2017-19,Male,72 years,nonMaori,14.12
px,2.50%,2017-19,Female,57 years,European or Other,0.99694
px,97.50%,2017-19,Female,87 years,Pacific,0.90135
ex,2.50%,2017-19,Female,65 years,nonMaori,21.87
ex,50%,2017-19,Female,64 years,Asian,25.44
Lx,2.50%,2017-19,Male,93 years,nonMaori,11674
lx,50%,2017-19,Male,104 years,Total,192
qx,97.50%,2017-19,Female,77 years,Maori,0.05333
px,2.50%,2017-19,Female,73 years,Maori,0.96162
mx,97.50%,2017-19,Female,98 years,Maori,0.39683
ex,97.50%,2017-19,Female,59 years,nonMaori,27.39
Lx,2.50%,2017-19,Female,63 years,Total,92491
Lx,2.50%,2017-19,Male,72 years,Maori,60294
px,50%,2017-19,Male,94 years,Asian,0.82421
ex,50%,2017-19,Female,46 years,nonMaori,39.48
ex,2.50%,2017-19,Female,90 years,nonMaori,4.64
dx,50%,2017-19,Female,95 years,Total,3066
dx,97.50%,2017-19,Male,52 years,Total,362
Lx,97.50%,2017-19,Female,43 years,Maori,96734
dx,50%,2017-19,Male,52 years,Total,338
px,97.50%,2017-19,Male,50 years,nonMaori,0.99782
ex,2.50%,2017-19,Male,63 years,Total,20.89
Lx,2.50%,2017-19,Male,47 years,European or Other,96620
px,97.50%,2017-19,Female,52 years,Total,0.99773
qx,2.50%,2017-19,Male,29 years,Asian,2.30E-04
dx,50%,2017-19,Male,27 years,Pacific,99
ex,2.50%,2017-19,Female,4 years,Maori,73.19
mx,97.50%,2017-19,Male,55 years,Pacific,0.00798
qx,97.50%,2017-19,Male,86 years,European or Other,0.10932
dx,97.50%,2017-19,Female,79 years,nonMaori,2430
dx,2.50%,2017-19,Male,41 years,Pacific,188
dx,97.50%,2017-19,Male,0 years,nonMaori,496
ex,50%,2017-19,Male,63 years,Pacific,17.7
dx,50%,2017-19,Female,16 years,Pacific,24
lx,50%,2017-19,Female,49 years,Pacific,95761
ex,2.50%,2017-19,Female,81 years,European or Other,9.32
ex,97.50%,2017-19,Male,99 years,Maori,3.42
Lx,2.50%,2017-19,Female,52 years,Total,96507
ex,2.50%,2017-19,Male,20 years,Total,60.59
Lx,97.50%,2017-19,Male,48 years,European or Other,96708
qx,50%,2017-19,Female,58 years,Asian,0.0016
Lx,50%,2017-19,Female,84 years,nonMaori,61026
Lx,97.50%,2017-19,Male,71 years,Maori,64513
ex,50%,2017-19,Female,69 years,Total,18.22
px,2.50%,2017-19,Female,16 years,Total,0.99971
mx,50%,2017-19,Male,58 years,Pacific,0.00876
px,50%,2017-19,Female,55 years,European or Other,0.9976
ex,97.50%,2017-19,Male,26 years,Asian,60.16
Lx,50%,2017-19,Female,71 years,Maori,71924
qx,2.50%,2017-19,Male,8 years,Maori,1.30E-04
lx,50%,2017-19,Male,3 years,Total,99455
Lx,97.50%,2017-19,Male,87 years,Pacific,21932
px,50%,2017-19,Female,95 years,European or Other,0.77644
mx,50%,2017-19,Male,75 years,European or Other,0.02786
px,2.50%,2017-19,Female,51 years,Total,0.99763
ex,97.50%,2017-19,Female,37 years,nonMaori,48.28
ex,2.50%,2017-19,Male,4 years,Pacific,71.48
dx,2.50%,2017-19,Female,58 years,Pacific,482
dx,97.50%,2017-19,Male,94 years,nonMaori,2621
lx,50%,2017-19,Male,53 years,Maori,89807
lx,50%,2017-19,Male,55 years,Asian,97040
lx,97.50%,2017-19,Female,61 years,nonMaori,95111
Lx,2.50%,2017-19,Male,35 years,nonMaori,98059
Lx,50%,2017-19,Female,92 years,Maori,11858
dx,2.50%,2017-19,Male,42 years,nonMaori,105
qx,97.50%,2017-19,Female,71 years,Maori,0.03103
Lx,50%,2017-19,Male,76 years,Asian,82354
px,97.50%,2017-19,Male,8 years,Maori,0.99987
Lx,50%,2017-19,Male,42 years,European or Other,97456
mx,2.50%,2017-19,Female,12 years,European or Other,6.00E-05
Lx,50%,2017-19,Male,65 years,Asian,92976
ex,50%,2017-19,Female,78 years,Maori,9.5
Lx,97.50%,2017-19,Male,1 years,Pacific,99444
lx,97.50%,2017-19,Female,67 years,nonMaori,92213
px,2.50%,2017-19,Female,33 years,European or Other,0.99949
dx,97.50%,2017-19,Male,34 years,Total,104
qx,97.50%,2017-19,Male,52 years,Total,0.00381
ex,2.50%,2017-19,Male,76 years,Pacific,8.96
dx,50%,2017-19,Male,24 years,European or Other,68
Lx,2.50%,2017-19,Female,38 years,European or Other,98690
mx,50%,2017-19,Male,65 years,nonMaori,0.00911
lx,97.50%,2017-19,Female,84 years,Asian,75981
lx,2.50%,2017-19,Female,58 years,Maori,89761
Lx,2.50%,2017-19,Female,97 years,Asian,12357
lx,2.50%,2017-19,Female,98 years,Maori,2497
Lx,2.50%,2017-19,Female,78 years,European or Other,78112
dx,2.50%,2017-19,Female,104 years,Total,182
lx,50%,2017-19,Female,59 years,Asian,97493
px,2.50%,2017-19,Female,13 years,Total,0.99983
lx,50%,2017-19,Female,93 years,Pacific,12273
lx,50%,2017-19,Female,97 years,Asian,16356
ex,50%,2017-19,Male,56 years,Total,26.89
lx,97.50%,2017-19,Male,58 years,Maori,86077
qx,50%,2017-19,Male,49 years,Maori,0.00543
dx,50%,2017-19,Female,18 years,Total,33
mx,97.50%,2017-19,Female,97 years,nonMaori,0.32608
qx,97.50%,2017-19,Male,3 years,Asian,2.20E-04
ex,97.50%,2017-19,Female,25 years,Asian,63.78
Lx,2.50%,2017-19,Female,47 years,Total,97456
px,2.50%,2017-19,Male,67 years,Asian,0.99114
ex,97.50%,2017-19,Male,70 years,Pacific,13.2
px,97.50%,2017-19,Male,90 years,Total,0.84166
lx,50%,2017-19,Female,91 years,nonMaori,31608
lx,50%,2017-19,Female,60 years,Pacific,90854
px,2.50%,2017-19,Female,0 years,nonMaori,0.9957
dx,97.50%,2017-19,Female,36 years,Pacific,143
ex,2.50%,2017-19,Male,40 years,Pacific,36.94
qx,50%,2017-19,Male,21 years,nonMaori,6.30E-04
dx,2.50%,2017-19,Male,67 years,Asian,578
lx,2.50%,2017-19,Male,80 years,European or Other,64523
mx,2.50%,2017-19,Male,49 years,Pacific,0.00381
ex,2.50%,2017-19,Female,1 years,Total,82.75
lx,2.50%,2017-19,Female,78 years,Pacific,61577
qx,50%,2017-19,Male,80 years,Total,0.0502
dx,97.50%,2017-19,Female,35 years,European or Other,58
qx,2.50%,2017-19,Male,54 years,Maori,0.00798
lx,50%,2017-19,Male,69 years,nonMaori,85799
ex,50%,2017-19,Female,70 years,Maori,14.04
mx,50%,2017-19,Male,30 years,Asian,3.00E-04
qx,97.50%,2017-19,Female,86 years,Asian,0.069
ex,97.50%,2017-19,Male,22 years,Asian,64.09
ex,50%,2017-19,Female,80 years,European or Other,10.04
ex,50%,2017-19,Female,91 years,Maori,4.39
dx,2.50%,2017-19,Female,18 years,Maori,45
ex,2.50%,2017-19,Male,74 years,Pacific,10.01
qx,97.50%,2017-19,Male,71 years,European or Other,0.01622
qx,2.50%,2017-19,Female,38 years,Maori,0.00116
dx,50%,2017-19,Female,59 years,Maori,879
ex,2.50%,2017-19,Male,71 years,Asian,17.17
px,97.50%,2017-19,Female,97 years,European or Other,0.74366
ex,97.50%,2017-19,Female,93 years,Total,3.8
px,50%,2017-19,Female,33 years,nonMaori,0.99961
ex,97.50%,2017-19,Male,4 years,Asian,81.86
qx,2.50%,2017-19,Female,28 years,Asian,1.20E-04
Lx,50%,2017-19,Male,88 years,Asian,47083
mx,2.50%,2017-19,Female,99 years,Total,0.33435
ex,97.50%,2017-19,Female,53 years,nonMaori,32.93
Lx,2.50%,2017-19,Female,91 years,Asian,39728
ex,97.50%,2017-19,Male,37 years,Maori,38.9
qx,2.50%,2017-19,Male,35 years,Asian,2.70E-04
px,2.50%,2017-19,Female,5 years,Maori,0.99982
qx,2.50%,2017-19,Female,38 years,Asian,2.00E-04
Lx,97.50%,2017-19,Female,85 years,nonMaori,57585
px,50%,2017-19,Female,53 years,Total,0.99739
Lx,50%,2017-19,Female,1 years,nonMaori,99605
px,50%,2017-19,Female,48 years,Pacific,0.99695
mx,50%,2017-19,Female,48 years,European or Other,0.00125
Lx,50%,2017-19,Female,13 years,Pacific,99229
dx,50%,2017-19,Male,83 years,nonMaori,3847
Lx,2.50%,2017-19,Female,85 years,European or Other,56936
ex,50%,2017-19,Male,5 years,Asian,80.43
lx,2.50%,2017-19,Female,9 years,European or Other,99588
px,50%,2017-19,Female,32 years,Pacific,0.99922
dx,97.50%,2017-19,Female,50 years,Maori,467
ex,50%,2017-19,Male,69 years,Pacific,13.45
lx,97.50%,2017-19,Female,74 years,Maori,67181
qx,50%,2017-19,Female,59 years,Asian,0.00166
px,2.50%,2017-19,Male,24 years,Maori,0.99828
mx,97.50%,2017-19,Female,57 years,nonMaori,0.00307
dx,50%,2017-19,Male,43 years,Maori,309
px,50%,2017-19,Male,64 years,nonMaori,0.99152
dx,97.50%,2017-19,Male,27 years,Maori,178
qx,50%,2017-19,Female,0 years,Maori,0.00468
dx,50%,2017-19,Female,43 years,Total,99
lx,50%,2017-19,Male,57 years,European or Other,94168
qx,97.50%,2017-19,Female,92 years,Pacific,0.20582
qx,50%,2017-19,Female,42 years,Maori,0.00192
mx,2.50%,2017-19,Male,79 years,European or Other,0.04278
px,97.50%,2017-19,Female,11 years,nonMaori,0.99994
lx,97.50%,2017-19,Female,48 years,Maori,95644
px,97.50%,2017-19,Male,83 years,Pacific,0.91427
px,2.50%,2017-19,Male,10 years,Total,0.99986
mx,2.50%,2017-19,Male,92 years,Pacific,0.18607
px,2.50%,2017-19,Male,56 years,Asian,0.99657
dx,2.50%,2017-19,Male,79 years,European or Other,2844
mx,50%,2017-19,Male,40 years,Total,0.0013
dx,97.50%,2017-19,Male,81 years,Maori,3651
px,2.50%,2017-19,Female,90 years,Total,0.86156
Lx,50%,2017-19,Male,99 years,nonMaori,1704
ex,50%,2017-19,Female,1 years,nonMaori,83.69
dx,97.50%,2017-19,Female,93 years,Asian,5805
Lx,97.50%,2017-19,Female,60 years,Asian,97482
Lx,97.50%,2017-19,Female,61 years,Maori,87576
dx,50%,2017-19,Male,59 years,Asian,358
qx,97.50%,2017-19,Male,27 years,European or Other,7.80E-04
px,50%,2017-19,Male,85 years,nonMaori,0.90723
lx,2.50%,2017-19,Female,60 years,Maori,88031
px,2.50%,2017-19,Male,82 years,Pacific,0.89397
ex,2.50%,2017-19,Female,13 years,Pacific,66.19
dx,50%,2017-19,Female,89 years,Maori,2852
mx,2.50%,2017-19,Male,42 years,Pacific,0.0021
ex,2.50%,2017-19,Male,35 years,Pacific,41.56
Lx,2.50%,2017-19,Female,82 years,Maori,40327
dx,97.50%,2017-19,Male,29 years,European or Other,80
dx,50%,2017-19,Male,3 years,Total,19
qx,2.50%,2017-19,Male,41 years,European or Other,0.00101
Lx,2.50%,2017-19,Female,56 years,Total,95413
qx,97.50%,2017-19,Male,54 years,Asian,0.00267
mx,97.50%,2017-19,Male,1 years,nonMaori,4.00E-04
ex,2.50%,2017-19,Female,28 years,Maori,49.81
dx,97.50%,2017-19,Male,57 years,European or Other,438
mx,50%,2017-19,Female,57 years,European or Other,0.00284
mx,2.50%,2017-19,Female,26 years,nonMaori,2.60E-04
Lx,2.50%,2017-19,Female,55 years,Maori,91509
qx,2.50%,2017-19,Female,1 years,Asian,7.00E-05
lx,2.50%,2017-19,Female,62 years,European or Other,94574
dx,2.50%,2017-19,Female,88 years,Total,4445
lx,50%,2017-19,Male,78 years,Maori,46608
mx,50%,2017-19,Female,17 years,European or Other,2.10E-04
lx,2.50%,2017-19,Male,70 years,Maori,66099
ex,97.50%,2017-19,Male,49 years,Maori,28.19
Lx,2.50%,2017-19,Female,102 years,Total,976
Lx,2.50%,2017-19,Male,25 years,Total,98529
ex,50%,2017-19,Female,41 years,Maori,37.76
Lx,97.50%,2017-19,Female,89 years,Asian,54337
lx,97.50%,2017-19,Female,104 years,Total,587
px,97.50%,2017-19,Male,85 years,Maori,0.89381
ex,50%,2017-19,Male,43 years,Pacific,34.62
dx,97.50%,2017-19,Female,33 years,Maori,130
dx,97.50%,2017-19,Male,98 years,Total,990
mx,50%,2017-19,Male,83 years,European or Other,0.07438
lx,2.50%,2017-19,Male,49 years,Pacific,93239
ex,97.50%,2017-19,Female,14 years,nonMaori,70.88
px,2.50%,2017-19,Male,51 years,Asian,0.9981
mx,50%,2017-19,Female,25 years,nonMaori,3.00E-04
ex,2.50%,2017-19,Female,83 years,Maori,6.88
ex,97.50%,2017-19,Male,93 years,Maori,3.84
px,2.50%,2017-19,Male,9 years,Pacific,0.99972
dx,2.50%,2017-19,Male,53 years,Total,345
dx,50%,2017-19,Male,97 years,European or Other,1292
qx,2.50%,2017-19,Male,72 years,Asian,0.00985
px,2.50%,2017-19,Female,73 years,Pacific,0.96866
Lx,50%,2017-19,Male,42 years,Total,96964
px,97.50%,2017-19,Male,53 years,nonMaori,0.997
dx,2.50%,2017-19,Female,25 years,nonMaori,26
mx,2.50%,2017-19,Female,96 years,European or Other,0.26667
lx,97.50%,2017-19,Male,42 years,Total,97134
ex,50%,2017-19,Male,25 years,Pacific,51.43
mx,97.50%,2017-19,Female,14 years,Maori,4.10E-04
mx,97.50%,2017-19,Female,44 years,Total,0.00121
qx,97.50%,2017-19,Male,65 years,Pacific,0.02049
lx,2.50%,2017-19,Male,17 years,Total,99144
Lx,50%,2017-19,Female,1 years,Pacific,99416
ex,97.50%,2017-19,Female,98 years,Asian,4.29
ex,2.50%,2017-19,Female,91 years,Pacific,3.83
lx,50%,2017-19,Male,58 years,nonMaori,93716
Lx,97.50%,2017-19,Female,93 years,European or Other,20936
mx,2.50%,2017-19,Female,47 years,nonMaori,0.00109
qx,97.50%,2017-19,Female,75 years,Total,0.0213
dx,97.50%,2017-19,Male,89 years,Pacific,3026
dx,50%,2017-19,Female,35 years,Pacific,102
Lx,97.50%,2017-19,Male,13 years,European or Other,99564
mx,50%,2017-19,Female,100 years and over,Asian,0.32783
qx,2.50%,2017-19,Male,9 years,European or Other,6.00E-05
lx,2.50%,2017-19,Male,44 years,Maori,93786
px,50%,2017-19,Male,84 years,nonMaori,0.91928
px,50%,2017-19,Female,97 years,Asian,0.7866
ex,2.50%,2017-19,Male,7 years,nonMaori,74.24
ex,2.50%,2017-19,Male,59 years,Maori,19.68
mx,2.50%,2017-19,Male,42 years,Asian,4.60E-04
dx,2.50%,2017-19,Male,48 years,Maori,421
lx,50%,2017-19,Male,86 years,nonMaori,42146
mx,2.50%,2017-19,Male,35 years,Asian,2.70E-04
Lx,50%,2017-19,Male,39 years,nonMaori,97799
px,97.50%,2017-19,Female,24 years,Asian,0.99988
dx,2.50%,2017-19,Male,37 years,Pacific,152
qx,97.50%,2017-19,Male,65 years,European or Other,0.00935
ex,50%,2017-19,Male,68 years,European or Other,17.18
dx,50%,2017-19,Female,57 years,nonMaori,276
ex,50%,2017-19,Female,61 years,nonMaori,25.5
ex,2.50%,2017-19,Male,39 years,European or Other,43.17
dx,50%,2017-19,Male,66 years,Total,991
ex,50%,2017-19,Male,27 years,Total,53.99
px,2.50%,2017-19,Female,52 years,Pacific,0.99508
dx,50%,2017-19,Male,69 years,nonMaori,1144
Lx,50%,2017-19,Female,21 years,Pacific,99022
Lx,2.50%,2017-19,Male,80 years,Asian,73468
qx,2.50%,2017-19,Female,73 years,Total,0.01541
Lx,97.50%,2017-19,Male,29 years,Total,98378
lx,50%,2017-19,Female,31 years,Total,98839
px,50%,2017-19,Male,58 years,Total,0.99416
Lx,50%,2017-19,Male,43 years,Maori,94289
dx,2.50%,2017-19,Female,33 years,nonMaori,34
qx,50%,2017-19,Male,32 years,Maori,0.00194
lx,50%,2017-19,Male,26 years,Asian,99144
dx,97.50%,2017-19,Male,90 years,Pacific,2764
ex,97.50%,2017-19,Male,23 years,Pacific,53.79
px,2.50%,2017-19,Male,78 years,Maori,0.93027
Lx,97.50%,2017-19,Male,35 years,European or Other,98271
mx,50%,2017-19,Male,72 years,European or Other,0.01941
qx,50%,2017-19,Female,69 years,Maori,0.02376
px,2.50%,2017-19,Male,1 years,Total,0.99956
qx,2.50%,2017-19,Female,37 years,European or Other,4.70E-04
qx,50%,2017-19,Female,84 years,Total,0.0603
px,50%,2017-19,Male,52 years,Maori,0.9927
mx,97.50%,2017-19,Female,13 years,Maori,3.40E-04
ex,2.50%,2017-19,Male,47 years,Total,34.92
lx,2.50%,2017-19,Female,17 years,nonMaori,99380
Lx,97.50%,2017-19,Female,40 years,Asian,99220
ex,50%,2017-19,Male,65 years,Pacific,16.22
Lx,50%,2017-19,Female,29 years,Maori,98289
ex,50%,2017-19,Male,77 years,European or Other,10.5
ex,50%,2017-19,Male,84 years,nonMaori,6.46
qx,97.50%,2017-19,Female,75 years,nonMaori,0.01957
dx,2.50%,2017-19,Male,93 years,nonMaori,2801
px,2.50%,2017-19,Male,69 years,nonMaori,0.98599
qx,97.50%,2017-19,Female,58 years,Maori,0.00995
ex,50%,2017-19,Female,13 years,European or Other,71.82
lx,50%,2017-19,Male,13 years,Total,99326
ex,97.50%,2017-19,Female,28 years,Maori,50.4
dx,97.50%,2017-19,Male,8 years,Pacific,27
mx,97.50%,2017-19,Female,79 years,Total,0.03356
mx,97.50%,2017-19,Female,34 years,Total,6.00E-04
dx,97.50%,2017-19,Male,77 years,Total,2467
qx,97.50%,2017-19,Female,53 years,Asian,0.00141
px,50%,2017-19,Female,85 years,Asian,0.95029
Lx,2.50%,2017-19,Female,28 years,European or Other,99147
ex,50%,2017-19,Female,34 years,nonMaori,51.13
ex,50%,2017-19,Female,72 years,Asian,18.2
ex,2.50%,2017-19,Male,91 years,nonMaori,3.73
ex,97.50%,2017-19,Male,59 years,Pacific,21.22
px,97.50%,2017-19,Female,48 years,nonMaori,0.99879
qx,50%,2017-19,Male,83 years,Total,0.07187
dx,2.50%,2017-19,Female,96 years,nonMaori,2647
qx,50%,2017-19,Female,3 years,Total,1.50E-04
px,50%,2017-19,Male,36 years,Asian,0.99962
Lx,97.50%,2017-19,Female,99 years,European or Other,3938
dx,2.50%,2017-19,Female,2 years,nonMaori,15
Lx,50%,2017-19,Female,60 years,European or Other,95283
mx,2.50%,2017-19,Female,6 years,European or Other,5.00E-05
dx,50%,2017-19,Male,16 years,Maori,65
ex,50%,2017-19,Male,60 years,nonMaori,23.85
ex,97.50%,2017-19,Male,50 years,Pacific,28.82
px,2.50%,2017-19,Male,25 years,Total,0.99912
qx,97.50%,2017-19,Male,36 years,Asian,4.80E-04
px,50%,2017-19,Female,73 years,European or Other,0.98544
ex,2.50%,2017-19,Female,10 years,nonMaori,74.68
Lx,2.50%,2017-19,Male,89 years,Pacific,12742
Lx,97.50%,2017-19,Female,1 years,Maori,99593
mx,2.50%,2017-19,Male,37 years,nonMaori,7.90E-04
qx,50%,2017-19,Female,20 years,nonMaori,2.90E-04
dx,50%,2017-19,Female,8 years,Maori,13
px,2.50%,2017-19,Female,71 years,nonMaori,0.98866
ex,97.50%,2017-19,Male,59 years,nonMaori,24.8
px,50%,2017-19,Male,22 years,nonMaori,0.99935
Lx,97.50%,2017-19,Female,0 years,nonMaori,99681
dx,50%,2017-19,Male,6 years,Maori,18
qx,97.50%,2017-19,Male,85 years,Maori,0.13153
lx,50%,2017-19,Male,7 years,Pacific,99211
ex,50%,2017-19,Female,84 years,Pacific,6.68
Lx,2.50%,2017-19,Male,26 years,nonMaori,98666
lx,50%,2017-19,Female,17 years,nonMaori,99435
px,97.50%,2017-19,Female,16 years,nonMaori,0.99985
ex,50%,2017-19,Male,1 years,European or Other,80.25
lx,2.50%,2017-19,Female,46 years,Total,97662
lx,2.50%,2017-19,Male,11 years,Total,99304
lx,97.50%,2017-19,Female,44 years,Total,98077
mx,50%,2017-19,Male,95 years,Maori,0.30412
px,97.50%,2017-19,Male,65 years,Total,0.99016
lx,97.50%,2017-19,Female,95 years,European or Other,15073
px,50%,2017-19,Female,4 years,Asian,0.9999
lx,97.50%,2017-19,Male,90 years,Maori,12632
lx,50%,2017-19,Male,81 years,Asian,73635
ex,50%,2017-19,Female,84 years,Maori,6.76
lx,2.50%,2017-19,Male,11 years,Maori,99062
ex,2.50%,2017-19,Male,92 years,Total,3.49
px,2.50%,2017-19,Male,3 years,Asian,0.99978
Lx,50%,2017-19,Female,82 years,Total,65101
Lx,97.50%,2017-19,Male,60 years,European or Other,92711
px,2.50%,2017-19,Male,42 years,Pacific,0.99687
Lx,2.50%,2017-19,Male,76 years,Maori,49691
Lx,2.50%,2017-19,Male,74 years,nonMaori,77567
qx,50%,2017-19,Female,46 years,Maori,0.00277
dx,97.50%,2017-19,Female,6 years,nonMaori,9
Lx,50%,2017-19,Female,91 years,Asian,42045
dx,50%,2017-19,Female,6 years,Total,9
mx,50%,2017-19,Male,19 years,Asian,2.50E-04
lx,2.50%,2017-19,Female,91 years,Pacific,15972
Lx,97.50%,2017-19,Male,81 years,Maori,36848
mx,50%,2017-19,Female,4 years,Pacific,1.50E-04
ex,2.50%,2017-19,Female,57 years,Maori,23.33
px,97.50%,2017-19,Female,60 years,Maori,0.99034
Lx,97.50%,2017-19,Female,55 years,Pacific,93848
qx,2.50%,2017-19,Male,48 years,Pacific,0.00346
mx,50%,2017-19,Male,59 years,European or Other,0.00543
lx,2.50%,2017-19,Female,11 years,nonMaori,99451
dx,50%,2017-19,Female,41 years,European or Other,65
ex,97.50%,2017-19,Female,5 years,Asian,83.61
px,50%,2017-19,Male,99 years,Maori,0.65695
mx,97.50%,2017-19,Male,80 years,Pacific,0.08863
lx,2.50%,2017-19,Male,52 years,nonMaori,95660
qx,50%,2017-19,Male,69 years,Asian,0.00827
Lx,2.50%,2017-19,Male,1 years,nonMaori,99488
qx,2.50%,2017-19,Female,59 years,Total,0.00392
mx,50%,2017-19,Female,92 years,Pacific,0.19303
px,50%,2017-19,Female,62 years,Total,0.99471
mx,50%,2017-19,Male,50 years,European or Other,0.0023
qx,97.50%,2017-19,Male,3 years,Total,2.20E-04
ex,97.50%,2017-19,Female,0 years,Maori,77.38
Lx,97.50%,2017-19,Female,95 years,Asian,25016
qx,97.50%,2017-19,Male,13 years,European or Other,1.80E-04
qx,2.50%,2017-19,Female,90 years,nonMaori,0.1285
Lx,2.50%,2017-19,Male,2 years,Total,99420
qx,2.50%,2017-19,Female,34 years,Asian,1.50E-04
px,2.50%,2017-19,Male,19 years,Total,0.99926
dx,2.50%,2017-19,Female,76 years,Asian,968
qx,50%,2017-19,Female,91 years,Asian,0.11553
dx,2.50%,2017-19,Female,5 years,nonMaori,7
Lx,97.50%,2017-19,Male,87 years,nonMaori,35947
px,97.50%,2017-19,Female,13 years,European or Other,0.99993
qx,97.50%,2017-19,Male,65 years,Asian,0.00771
px,50%,2017-19,Male,47 years,nonMaori,0.99822
px,50%,2017-19,Female,83 years,Pacific,0.91637
ex,50%,2017-19,Male,24 years,Maori,50.6
mx,50%,2017-19,Female,45 years,European or Other,9.50E-04
